method,clustering,seed,num_periods,cost,time,distance,data,loss,loss_ct,type,extreme
cross_scenario,k_medoids,468006976,7,9.07017e7,2.0828598,CosineDist,closemixed,1.03723957793e6,660,insample,none
cross_scenario,k_medoids,880982686,7,8.06644e7,1.7698395,CosineDist,closemixed,779685.522987,517,insample,none
cross_scenario,k_medoids,1130292821,9,7.75034e7,3.5716461,CosineDist,closemixed,698552.91971,499,insample,none
cross_scenario,k_medoids,1392296365,9,8.04493e7,2.6342056,CosineDist,closemixed,774702.035823,516,insample,none
cross_scenario,k_medoids,2814468992,9,7.01492e7,2.9127526,CosineDist,closemixed,500318.115341,328,insample,none
cross_scenario,k_medoids,3044209910,9,5.60226e7,2.8431845,CosineDist,closemixed,119142.808772,124,insample,none
cross_scenario,k_medoids,3261319673,9,7.9453e7,2.6439675,CosineDist,closemixed,748808.740194,525,insample,none
cross_scenario,k_medoids,3543870990,9,8.25455e7,3.2523786,CosineDist,closemixed,828830.355444,574,insample,none
cross_scenario,k_medoids,3602499071,9,9.13017e7,3.4691303,CosineDist,closemixed,1.048518863464e6,626,insample,none
cross_scenario,k_medoids,3926221275,9,8.47386e7,3.2339376,CosineDist,closemixed,878309.094152,507,insample,none
cross_scenario,k_medoids,42413356,9,7.96097e7,4.6982938,CosineDist,closemixed,750911.960565,510,insample,none
cross_scenario,k_medoids,697383862,9,1.01038e8,3.0442551,CosineDist,closemixed,1.301872637913e6,837,insample,none
cross_scenario,k_medoids,1355586937,11,7.65712e7,4.1045362,SqEuclidean,closemixed,669236.801131,423,insample,none
cross_scenario,k_medoids,1768760743,11,7.54953e7,3.9582853,SqEuclidean,closemixed,638109.797966,447,insample,none
