method,clustering,seed,num_periods,cost,time,distance,data,loss,loss_ct
cross_scenario,k_medoids,2439649745,29,4.41977e7,14.2766137,CosineDist,centered,10416.943835,7
cross_scenario,k_medoids,2730667678,29,4.41894e7,16.0746823,CosineDist,centered,7940.163024999999,7
cross_scenario,k_medoids,2843080965,29,4.41881e7,15.4834352,CosineDist,centered,9595.918899999999,7
cross_scenario,k_medoids,3434031776,29,4.83948e7,15.0142681,CosineDist,centered,131957.422871,80
cross_scenario,k_medoids,950202798,29,4.42331e7,16.9477864,CosineDist,centered,9304.563061,7
cross_scenario,k_medoids,1042382051,3,1.33296e8,0.7652658,CosineDist,centered,2.359305151628e6,938
cross_scenario,k_medoids,1617230705,3,1.50286e8,0.7459804,CosineDist,centered,2.7919648924680008e6,1077
cross_scenario,k_medoids,1690918982,3,1.34687e8,0.7436807,CosineDist,centered,2.3958393394350004e6,893
cross_scenario,k_medoids,2011904635,3,1.7231e8,0.832712,CosineDist,centered,3.3624271672899993e6,1358
cross_scenario,k_medoids,208019063,3,1.47278e8,0.6658274,CosineDist,centered,2.7164698089940003e6,1038
cross_scenario,k_medoids,2175589206,3,1.40575e8,1.2128401,CosineDist,centered,2.54479432449e6,1022
cross_scenario,k_medoids,2331872192,3,4.89595e7,0.6929027,CosineDist,centered,145744.76260699998,89
cross_scenario,k_medoids,2859914000,3,4.90236e7,0.7554162,CosineDist,centered,145744.76260699998,89
cross_scenario,k_medoids,3409952330,3,1.27272e8,1.2435059,CosineDist,centered,2.2038278380480004e6,813
cross_scenario,k_medoids,488813374,3,1.51775e8,0.8184154,CosineDist,centered,2.832546140081e6,1149
cross_scenario,k_medoids,1349996306,31,4.42053e7,16.2730265,CosineDist,centered,8090.79138,7
cross_scenario,k_medoids,1462714024,31,4.41929e7,15.4573369,CosineDist,centered,6883.390900999999,7
cross_scenario,k_medoids,1579127763,31,4.41852e7,19.4139768,CosineDist,centered,8578.675941,7
cross_scenario,k_medoids,1648351254,31,4.41839e7,16.1123773,CosineDist,centered,8245.348531,7
cross_scenario,k_medoids,2030289235,31,4.41739e7,15.1960148,CosineDist,centered,9607.281096,7
cross_scenario,k_medoids,2462588561,31,4.4179e7,17.0562893,CosineDist,centered,9351.028781,7
cross_scenario,k_medoids,2929172095,31,4.41953e7,19.9730652,CosineDist,centered,9860.786651,7
cross_scenario,k_medoids,2944528308,31,4.41819e7,17.0510328,CosineDist,centered,9106.705478,7
cross_scenario,k_medoids,295145311,31,9.92128e7,20.6038976,CosineDist,centered,1.4749243434670004e6,336
cross_scenario,k_medoids,3899371692,31,4.41729e7,16.7495842,CosineDist,centered,9204.056271,7
cross_scenario,k_medoids,1038419084,33,4.41765e7,20.0377358,CosineDist,centered,8810.441787,7
