method,clustering,seed,num_periods,cost,time,distance,data,loss,loss_ct
cross_scenario,k_medoids,2658990538,25,9.19758e7,5.651754,CosineDist,centered,1.286226134193e6,306
cross_scenario,k_medoids,2726541456,25,4.45758e7,5.9713643,CosineDist,centered,8268.951274000001,7
cross_scenario,k_medoids,2894918851,25,4.66191e7,5.8645241,CosineDist,centered,76437.044589,52
cross_scenario,k_medoids,3351175237,25,1.00068e8,6.0561781,CosineDist,centered,1.480341272136e6,332
cross_scenario,k_medoids,343301208,25,1.05272e8,5.9696313,CosineDist,centered,1.621000265445e6,358
cross_scenario,k_medoids,4135971217,25,4.45922e7,6.384496,CosineDist,centered,8895.41969,7
cross_scenario,k_medoids,4145110716,25,4.45432e7,6.3895481,CosineDist,centered,8980.160712,7
cross_scenario,k_medoids,448376330,25,4.45094e7,6.8791913,CosineDist,centered,7267.0508709999995,7
cross_scenario,k_medoids,47449323,25,4.45936e7,7.2569294,CosineDist,centered,9023.949434999999,7
cross_scenario,k_medoids,1161276258,27,4.4518e7,6.6520577,CosineDist,centered,6729.037195000001,7
cross_scenario,k_medoids,1233541653,27,4.45095e7,5.861932,CosineDist,centered,8126.155229,7
cross_scenario,k_medoids,1267936167,27,9.60539e7,6.0543505,CosineDist,centered,1.3817298449509996e6,302
cross_scenario,k_medoids,1653248667,27,4.45248e7,6.0994517,CosineDist,centered,7618.393722999999,7
cross_scenario,k_medoids,2437521778,27,4.45716e7,6.6140096,CosineDist,centered,11232.093579,7
cross_scenario,k_medoids,2524306086,27,4.45155e7,6.368882,CosineDist,centered,9280.88588,7
cross_scenario,k_medoids,2606414571,27,4.45661e7,6.0448973,CosineDist,centered,12259.830786999999,7
cross_scenario,k_medoids,2821296471,27,4.45184e7,6.1896488,CosineDist,centered,8557.326687,7
cross_scenario,k_medoids,3155655383,27,4.45189e7,7.3318548,CosineDist,centered,8792.95205,7
cross_scenario,k_medoids,463779685,27,4.45406e7,6.545213,CosineDist,centered,10623.761683,7
cross_scenario,k_medoids,1113698075,29,4.45216e7,6.708306,CosineDist,centered,9652.371865000001,7
cross_scenario,k_medoids,1125327650,29,4.45285e7,6.67995,CosineDist,centered,8304.392058,7
cross_scenario,k_medoids,1398119942,29,9.8972e7,6.534118,CosineDist,centered,1.459005749932e6,330
cross_scenario,k_medoids,1669407957,29,4.45571e7,6.4069916,CosineDist,centered,9170.447726999999,7
cross_scenario,k_medoids,1792506398,29,4.94341e7,6.431612,CosineDist,centered,149709.78528100002,106
cross_scenario,k_medoids,2439649745,29,4.45638e7,6.2366022,CosineDist,centered,10416.943835,7
cross_scenario,k_medoids,2730667678,29,4.45526e7,6.2389539,CosineDist,centered,7940.163024999999,7
cross_scenario,k_medoids,2843080965,29,4.45374e7,6.0512209,CosineDist,centered,9595.918899999999,7
cross_scenario,k_medoids,3434031776,29,4.96364e7,5.9412265,CosineDist,centered,153520.615483,106
cross_scenario,k_medoids,950202798,29,4.46168e7,6.2661546,CosineDist,centered,9304.563061,7
cross_scenario,k_medoids,1042382051,3,1.45148e8,5.0518135,CosineDist,centered,2.655049165091e6,1012
cross_scenario,k_medoids,1617230705,3,1.70132e8,5.2184078,CosineDist,centered,3.2911271376390005e6,1322
cross_scenario,k_medoids,1690918982,3,1.48848e8,5.9960547,CosineDist,centered,2.750354603698e6,1032
cross_scenario,k_medoids,2011904635,3,1.93392e8,4.9777009,CosineDist,centered,3.89291826524e6,1740
cross_scenario,k_medoids,208019063,3,1.65036e8,5.5186037,CosineDist,centered,3.161722359114e6,1243
cross_scenario,k_medoids,2175589206,3,1.57686e8,5.3629463,CosineDist,centered,2.9744261135919997e6,1226
cross_scenario,k_medoids,2331872192,3,5.03839e7,6.2679439,CosineDist,centered,172925.76973899995,118
cross_scenario,k_medoids,2859914000,3,5.04541e7,6.116446,CosineDist,centered,172925.76973899995,118
cross_scenario,k_medoids,3409952330,3,1.34571e8,4.9756241,CosineDist,centered,2.3831408944839993e6,866
cross_scenario,k_medoids,488813374,3,1.66304e8,5.2932074,CosineDist,centered,3.1965623772289995e6,1295
cross_scenario,k_medoids,1349996306,31,4.45348e7,6.2616388,CosineDist,centered,8090.79138,7
cross_scenario,k_medoids,1462714024,31,4.45269e7,5.8766408,CosineDist,centered,6883.390900999999,7
cross_scenario,k_medoids,1579127763,31,4.45195e7,6.0818841,CosineDist,centered,8578.675941,7
cross_scenario,k_medoids,1648351254,31,4.45169e7,6.9076842,CosineDist,centered,8245.348531,7
cross_scenario,k_medoids,2030289235,31,4.45286e7,6.9197347,CosineDist,centered,9607.281096,7
cross_scenario,k_medoids,2462588561,31,4.45375e7,6.4587121,CosineDist,centered,9351.028781,7
cross_scenario,k_medoids,2929172095,31,4.45782e7,6.6398857,CosineDist,centered,9860.786651,7
cross_scenario,k_medoids,2944528308,31,4.45172e7,6.5445716,CosineDist,centered,9106.705478,7
cross_scenario,k_medoids,295145311,31,1.06866e8,5.9938848,CosineDist,centered,1.661814089288e6,445
cross_scenario,k_medoids,3899371692,31,4.45136e7,6.7968833,CosineDist,centered,9204.056271,7
cross_scenario,k_medoids,1038419084,33,4.45089e7,7.0239607,CosineDist,centered,8810.441787,7
cross_scenario,k_medoids,1109759726,33,4.45631e7,6.260026,CosineDist,centered,10537.399516000001,7
cross_scenario,k_medoids,1963882461,33,4.45137e7,6.5003755,CosineDist,centered,7638.419871,7
cross_scenario,k_medoids,1989163906,33,4.45462e7,6.3393904,CosineDist,centered,9845.579042,7
cross_scenario,k_medoids,2479233904,33,1.02792e8,5.947487,CosineDist,centered,1.557869462359e6,361
cross_scenario,k_medoids,2497612078,33,4.45478e7,5.6745706,CosineDist,centered,9695.794544000002,7
cross_scenario,k_medoids,3214090957,33,4.45607e7,6.1734673,CosineDist,centered,8506.787377999999,7
cross_scenario,k_medoids,3465092140,33,4.45618e7,6.8773714,CosineDist,centered,8826.75163,7
cross_scenario,k_medoids,4061834237,33,4.4512e7,6.5170155,CosineDist,centered,9363.429088,7
cross_scenario,k_medoids,52313467,33,4.45207e7,6.8679405,CosineDist,centered,10540.729545999999,7
cross_scenario,k_medoids,1208640119,35,4.45242e7,7.5335795,CosineDist,centered,9667.076774000001,7
cross_scenario,k_medoids,1428058240,35,4.45188e7,6.4982367,CosineDist,centered,8114.173536,7
cross_scenario,k_medoids,15941194,35,9.18666e7,6.2422618,CosineDist,centered,1.2831112027099999e6,265
cross_scenario,k_medoids,2213813141,35,4.4512e7,7.0109025,CosineDist,centered,8354.631789,7
cross_scenario,k_medoids,2291375163,35,4.45436e7,7.1050352,CosineDist,centered,8412.679956,7
cross_scenario,k_medoids,236500538,35,4.45265e7,6.236066,CosineDist,centered,9214.614258000001,7
cross_scenario,k_medoids,252145784,35,4.45319e7,6.5114062,CosineDist,centered,8582.972434000001,7
cross_scenario,k_medoids,2544196106,35,4.45554e7,6.1264116,CosineDist,centered,11202.319274,7
cross_scenario,k_medoids,2745802022,35,4.45099e7,6.8219797,CosineDist,centered,9738.784547,7
cross_scenario,k_medoids,3596893902,35,4.45287e7,6.2014958,CosineDist,centered,9304.780047999999,7
cross_scenario,k_medoids,1380354363,37,4.53721e7,5.8629278,CosineDist,centered,42263.194253999995,17
cross_scenario,k_medoids,3048518942,37,4.45572e7,6.5043797,CosineDist,centered,8487.584626,7
cross_scenario,k_medoids,3182806193,37,4.45228e7,6.641069,CosineDist,centered,8963.398412999999,7
cross_scenario,k_medoids,3244629827,37,4.45334e7,6.8232515,CosineDist,centered,9721.648273,7
cross_scenario,k_medoids,3452769998,37,4.45108e7,6.5198734,CosineDist,centered,8896.027796,7
cross_scenario,k_medoids,4262333788,37,4.45303e7,6.8415802,CosineDist,centered,10611.477184,7
cross_scenario,k_medoids,45994245,37,4.45277e7,6.6433629,CosineDist,centered,8330.554171,7
cross_scenario,k_medoids,67569244,37,4.45335e7,6.8098949,CosineDist,centered,9171.568816,7
cross_scenario,k_medoids,814300562,37,4.45019e7,6.4809478,CosineDist,centered,7913.946952,7
cross_scenario,k_medoids,870981686,37,4.45075e7,6.7760191,CosineDist,centered,7997.250883,7
cross_scenario,k_medoids,1129760376,39,4.45376e7,6.4901166,CosineDist,centered,9029.310894,7
cross_scenario,k_medoids,148104383,39,4.45458e7,7.1581054,CosineDist,centered,9769.392788,7
cross_scenario,k_medoids,1655289285,39,4.45103e7,7.7980062,CosineDist,centered,9098.403505999999,7
cross_scenario,k_medoids,1845695973,39,4.45102e7,6.3903003,CosineDist,centered,7533.5839430000005,7
cross_scenario,k_medoids,2121257682,39,4.45287e7,6.4848652,CosineDist,centered,7977.696137,7
cross_scenario,k_medoids,2943233938,39,4.45085e7,6.6980697,CosineDist,centered,8794.067546999999,7
cross_scenario,k_medoids,3030918353,39,4.45193e7,6.9447247,CosineDist,centered,8369.74665,7
