location,time_step,demand,scenario,period,timestep
DEN,2,3235.599658154,1900,1,2
DEN,3,3101.53901968453,1900,1,3
DEN,4,2961.47566605971,1900,1,4
DEN,5,2897.44670440265,1900,1,5
DEN,6,2924.45892260172,1900,1,6
DEN,7,3046.51413076049,1900,1,7
DEN,8,3178.57386417818,1900,1,8
DEN,9,3288.62364202625,1900,1,9
DEN,10,3491.71550478224,1900,1,10
DEN,11,3620.77388062226,1900,1,11
DEN,12,3787.84945244615,1900,1,12
DEN,13,3861.88293936213,1900,1,13
DEN,14,3894.89787271655,1900,1,14
DEN,15,3913.90647070849,1900,1,15
DEN,16,4027.95805866013,1900,1,16
DEN,17,4281.0725477107,1900,1,17
DEN,18,4537.18839433894,1900,1,18
DEN,19,4480.16260036312,1900,1,19
DEN,20,4262.06394971876,1900,1,20
DEN,21,4054.9702768592,1900,1,21
DEN,22,3878.89063230228,1900,1,22
DEN,23,3643.78428871776,1900,1,23
DEN,24,3578.75487453481,1900,1,24
DEN,3577,2743.63560718695,1900,150,1
DEN,3578,2605.16460888376,1900,150,2
DEN,3579,2528.76681671648,1900,150,3
DEN,3580,2528.76681671648,1900,150,4
DEN,3581,2582.88191950163,1900,150,5
DEN,3582,2578.10705749118,1900,150,6
DEN,3583,2743.63560718695,1900,150,7
DEN,3584,2976.01222502909,1900,150,8
DEN,3585,3284.78663503851,1900,150,9
DEN,3586,3426.440874682,1900,150,10
DEN,3587,3509.20514952989,1900,150,11
DEN,3588,3463.04815009549,1900,150,12
DEN,3589,3378.69225457745,1900,150,13
DEN,3590,3329.35201380275,1900,150,14
DEN,3591,3283.19501436836,1900,150,15
DEN,3592,3211.57208421153,1900,150,16
DEN,3593,3257.72908364593,1900,150,17
DEN,3594,3450.31518473428,1900,150,18
DEN,3595,3450.31518473428,1900,150,19
DEN,3596,3241.81287694441,1900,150,20
DEN,3597,3079.46756858895,1900,150,21
DEN,3598,2936.2217082753,1900,150,22
DEN,3599,2917.12226023348,1900,150,23
DEN,3600,2765.91829656907,1900,150,24
DEN,7177,2922.14750256794,1900,300,1
DEN,7178,2885.14750256794,1900,300,2
DEN,7179,2904.14750256794,1900,300,3
DEN,7180,3007.14750256794,1900,300,4
DEN,7181,3344.14750256794,1900,300,5
DEN,7182,4076.14750256794,1900,300,6
DEN,7183,4649.14750256794,1900,300,7
DEN,7184,4818.14750256794,1900,300,8
DEN,7185,4807.14750256794,1900,300,9
DEN,7186,4834.14750256794,1900,300,10
DEN,7187,4774.14750256794,1900,300,11
DEN,7188,4669.14750256794,1900,300,12
DEN,7189,4654.14750256794,1900,300,13
DEN,7190,4560.14750256794,1900,300,14
DEN,7191,4428.14750256794,1900,300,15
DEN,7192,4556.14750256794,1900,300,16
DEN,7193,5240.14750256794,1900,300,17
DEN,7194,5145.14750256794,1900,300,18
DEN,7195,4799.14750256794,1900,300,19
DEN,7196,4445.14750256794,1900,300,20
DEN,7197,4100.14750256794,1900,300,21
DEN,7198,3722.14750256794,1900,300,22
DEN,7199,3357.14750256794,1900,300,23
DEN,7200,3123.14750256794,1900,300,24
FIN,1,6513.4011046938,1900,1,1
FIN,2,6172.2308632909,1900,1,2
FIN,3,6054.17195277611,1900,1,3
FIN,4,5978.13401041065,1900,1,4
FIN,5,6008.14898766017,1900,1,5
FIN,6,6200.24484205712,1900,1,6
FIN,7,6203.24633978207,1900,1,7
FIN,8,6352.32072678803,1900,1,8
FIN,9,6301.29526546384,1900,1,9
FIN,10,6356.32272375463,1900,1,10
FIN,11,6516.40260241875,1900,1,11
FIN,12,6606.44753416732,1900,1,12
FIN,13,6636.46251141684,1900,1,13
FIN,14,6756.52242041493,1900,1,14
FIN,15,7130.70913679231,1900,1,15
FIN,16,7461.87438577871,1900,1,16
FIN,17,7481.88437061172,1900,1,17
FIN,18,7521.90434027775,1900,1,18
FIN,19,7510.8988486196,1900,1,19
FIN,20,7353.82046768043,1900,1,20
FIN,21,7066.67718532666,1900,1,21
FIN,22,7282.78502152323,1900,1,22
FIN,23,7093.69066485123,1900,1,23
FIN,24,6626.45751900034,1900,1,24
FIN,3577,4521.77357672233,1900,150,1
FIN,3578,4319.60924563316,1900,150,2
FIN,3579,4180.49616631933,1900,150,3
FIN,3580,4059.39773036988,1900,150,4
FIN,3581,4086.41969541645,1900,150,5
FIN,3582,4319.60924563316,1900,150,6
FIN,3583,4614.84923410497,1900,150,7
FIN,3584,4821.01681927511,1900,150,8
FIN,3585,4975.14210139259,1900,150,9
FIN,3586,5100.24379142302,1900,150,10
FIN,3587,5169.29992431981,1900,150,11
FIN,3588,5163.29504319835,1900,150,12
FIN,3589,5115.25599422667,1900,150,13
FIN,3590,4940.11362818407,1900,150,14
FIN,3591,4980.14616899381,1900,150,15
FIN,3592,5008.16894756062,1900,150,16
FIN,3593,5012.1722016416,1900,150,17
FIN,3594,4958.12827154845,1900,150,18
FIN,3595,4968.13640675089,1900,150,19
FIN,3596,4983.14860955454,1900,150,20
FIN,3597,4797.99810830951,1900,150,21
FIN,3598,4952.12339042699,1900,150,22
FIN,3599,5066.21613173474,1900,150,23
FIN,3600,4696.91594276493,1900,150,24
FIN,7177,5723.94821939827,1900,300,1
FIN,7178,5537.77138009167,1900,300,2
FIN,7179,5449.68771418317,1900,300,3
FIN,7180,5518.75331586142,1900,300,4
FIN,7181,5911.12600945382,1900,300,5
FIN,7182,6908.07295541819,1900,300,6
FIN,7183,7310.45515650019,1900,300,7
FIN,7184,7373.51505368468,1900,300,8
FIN,7185,7445.58350760982,1900,300,9
FIN,7186,7476.61298082759,1900,300,10
