location,technology,time_step,availability,scenario,period,timestep
BEL,WindOff,17,0.912,1900,1,17
BEL,WindOff,18,0.928,1900,1,18
BEL,WindOff,19,0.94,1900,1,19
BEL,WindOff,20,0.95,1900,1,20
BEL,WindOff,21,0.956,1900,1,21
BEL,WindOff,22,0.963,1900,1,22
BEL,WindOff,23,0.968,1900,1,23
BEL,WindOff,24,0.971,1900,1,24
BEL,WindOff,3577,0.636,1900,150,1
BEL,WindOff,3578,0.638,1900,150,2
BEL,WindOff,3579,0.621,1900,150,3
BEL,WindOff,3580,0.624,1900,150,4
BEL,WindOff,3581,0.62,1900,150,5
BEL,WindOff,3582,0.6,1900,150,6
BEL,WindOff,3583,0.576,1900,150,7
BEL,WindOff,3584,0.533,1900,150,8
BEL,WindOff,3585,0.496,1900,150,9
BEL,WindOff,3586,0.462,1900,150,10
BEL,WindOff,3587,0.431,1900,150,11
BEL,WindOff,3588,0.402,1900,150,12
BEL,WindOff,3589,0.373,1900,150,13
BEL,WindOff,3590,0.351,1900,150,14
BEL,WindOff,3591,0.338,1900,150,15
BEL,WindOff,3592,0.336,1900,150,16
BEL,WindOff,3593,0.352,1900,150,17
BEL,WindOff,3594,0.399,1900,150,18
BEL,WindOff,3595,0.46,1900,150,19
BEL,WindOff,3596,0.52,1900,150,20
BEL,WindOff,3597,0.552,1900,150,21
BEL,WindOff,3598,0.568,1900,150,22
BEL,WindOff,3599,0.561,1900,150,23
BEL,WindOff,3600,0.563,1900,150,24
BEL,WindOff,7177,0.476,1900,300,1
BEL,WindOff,7178,0.476,1900,300,2
BEL,WindOff,7179,0.46,1900,300,3
BEL,WindOff,7180,0.45,1900,300,4
BEL,WindOff,7181,0.442,1900,300,5
BEL,WindOff,7182,0.431,1900,300,6
BEL,WindOff,7183,0.423,1900,300,7
BEL,WindOff,7184,0.43,1900,300,8
BEL,WindOff,7185,0.432,1900,300,9
BEL,WindOff,7186,0.444,1900,300,10
BEL,WindOff,7187,0.452,1900,300,11
BEL,WindOff,7188,0.458,1900,300,12
BEL,WindOff,7189,0.461,1900,300,13
BEL,WindOff,7190,0.458,1900,300,14
BEL,WindOff,7191,0.456,1900,300,15
BEL,WindOff,7192,0.473,1900,300,16
BEL,WindOff,7193,0.508,1900,300,17
BEL,WindOff,7194,0.54,1900,300,18
BEL,WindOff,7195,0.553,1900,300,19
BEL,WindOff,7196,0.536,1900,300,20
BEL,WindOff,7197,0.508,1900,300,21
BEL,WindOff,7198,0.49,1900,300,22
BEL,WindOff,7199,0.486,1900,300,23
BEL,WindOff,7200,0.486,1900,300,24
BEL,WindOn,1,0.177,1900,1,1
BEL,WindOn,2,0.179,1900,1,2
BEL,WindOn,3,0.195,1900,1,3
BEL,WindOn,4,0.212,1900,1,4
BEL,WindOn,5,0.234,1900,1,5
BEL,WindOn,6,0.228,1900,1,6
BEL,WindOn,7,0.231,1900,1,7
BEL,WindOn,8,0.253,1900,1,8
BEL,WindOn,9,0.334,1900,1,9
BEL,WindOn,10,0.338,1900,1,10
BEL,WindOn,11,0.317,1900,1,11
BEL,WindOn,12,0.338,1900,1,12
BEL,WindOn,13,0.384,1900,1,13
BEL,WindOn,14,0.439,1900,1,14
BEL,WindOn,15,0.492,1900,1,15
BEL,WindOn,16,0.557,1900,1,16
BEL,WindOn,17,0.598,1900,1,17
BEL,WindOn,18,0.623,1900,1,18
BEL,WindOn,19,0.654,1900,1,19
BEL,WindOn,20,0.685,1900,1,20
BEL,WindOn,21,0.708,1900,1,21
BEL,WindOn,22,0.729,1900,1,22
BEL,WindOn,23,0.746,1900,1,23
BEL,WindOn,24,0.757,1900,1,24
BEL,WindOn,3577,0.278,1900,150,1
BEL,WindOn,3578,0.241,1900,150,2
BEL,WindOn,3579,0.217,1900,150,3
BEL,WindOn,3580,0.211,1900,150,4
BEL,WindOn,3581,0.205,1900,150,5
BEL,WindOn,3582,0.19,1900,150,6
BEL,WindOn,3583,0.226,1900,150,7
BEL,WindOn,3584,0.285,1900,150,8
BEL,WindOn,3585,0.319,1900,150,9
BEL,WindOn,3586,0.322,1900,150,10
BEL,WindOn,3587,0.311,1900,150,11
BEL,WindOn,3588,0.306,1900,150,12
BEL,WindOn,3589,0.304,1900,150,13
BEL,WindOn,3590,0.292,1900,150,14
BEL,WindOn,3591,0.264,1900,150,15
BEL,WindOn,3592,0.23,1900,150,16
BEL,WindOn,3593,0.191,1900,150,17
BEL,WindOn,3594,0.137,1900,150,18
BEL,WindOn,3595,0.09,1900,150,19
BEL,WindOn,3596,0.072,1900,150,20
BEL,WindOn,3597,0.067,1900,150,21
BEL,WindOn,3598,0.073,1900,150,22
BEL,WindOn,3599,0.105,1900,150,23
BEL,WindOn,3600,0.178,1900,150,24
BEL,WindOn,7177,0.338,1900,300,1
BEL,WindOn,7178,0.321,1900,300,2
BEL,WindOn,7179,0.294,1900,300,3
BEL,WindOn,7180,0.269,1900,300,4
BEL,WindOn,7181,0.244,1900,300,5
BEL,WindOn,7182,0.218,1900,300,6
BEL,WindOn,7183,0.202,1900,300,7
BEL,WindOn,7184,0.208,1900,300,8
BEL,WindOn,7185,0.199,1900,300,9
BEL,WindOn,7186,0.216,1900,300,10
BEL,WindOn,7187,0.208,1900,300,11
BEL,WindOn,7188,0.217,1900,300,12
BEL,WindOn,7189,0.217,1900,300,13
BEL,WindOn,7190,0.221,1900,300,14
BEL,WindOn,7191,0.201,1900,300,15
BEL,WindOn,7192,0.199,1900,300,16
BEL,WindOn,7193,0.277,1900,300,17
BEL,WindOn,7194,0.346,1900,300,18
BEL,WindOn,7195,0.36,1900,300,19
BEL,WindOn,7196,0.351,1900,300,20
BEL,WindOn,7197,0.345,1900,300,21
BEL,WindOn,7198,0.349,1900,300,22
BEL,WindOn,7199,0.354,1900,300,23
BEL,WindOn,7200,0.36,1900,300,24
BLK,SunPV,1,0.0,1900,1,1
BLK,SunPV,2,0.0,1900,1,2
BLK,SunPV,3,0.0,1900,1,3
BLK,SunPV,4,0.0,1900,1,4
BLK,SunPV,5,0.0,1900,1,5
BLK,SunPV,6,0.0,1900,1,6
BLK,SunPV,7,0.009,1900,1,7
BLK,SunPV,8,0.103,1900,1,8
BLK,SunPV,9,0.203,1900,1,9
BLK,SunPV,10,0.26,1900,1,10
BLK,SunPV,11,0.271,1900,1,11
BLK,SunPV,12,0.263,1900,1,12
BLK,SunPV,13,0.225,1900,1,13
BLK,SunPV,14,0.169,1900,1,14
BLK,SunPV,15,0.08,1900,1,15
BLK,SunPV,16,0.004,1900,1,16
BLK,SunPV,17,0.0,1900,1,17
BLK,SunPV,18,0.0,1900,1,18
BLK,SunPV,19,0.0,1900,1,19
BLK,SunPV,20,0.0,1900,1,20
BLK,SunPV,21,0.0,1900,1,21
BLK,SunPV,22,0.0,1900,1,22
BLK,SunPV,23,0.0,1900,1,23
BLK,SunPV,24,0.0,1900,1,24
BLK,SunPV,3577,0.0,1900,150,1
BLK,SunPV,3578,0.0,1900,150,2
BLK,SunPV,3579,0.0,1900,150,3
BLK,SunPV,3580,0.003,1900,150,4
BLK,SunPV,3581,0.07,1900,150,5
BLK,SunPV,3582,0.222,1900,150,6
BLK,SunPV,3583,0.403,1900,150,7
BLK,SunPV,3584,0.567,1900,150,8
BLK,SunPV,3585,0.692,1900,150,9
BLK,SunPV,3586,0.771,1900,150,10
BLK,SunPV,3587,0.798,1900,150,11
BLK,SunPV,3588,0.788,1900,150,12
BLK,SunPV,3589,0.742,1900,150,13
BLK,SunPV,3590,0.649,1900,150,14
BLK,SunPV,3591,0.521,1900,150,15
BLK,SunPV,3592,0.366,1900,150,16
BLK,SunPV,3593,0.2,1900,150,17
BLK,SunPV,3594,0.055,1900,150,18
BLK,SunPV,3595,0.002,1900,150,19
BLK,SunPV,3596,0.0,1900,150,20
BLK,SunPV,3597,0.0,1900,150,21
BLK,SunPV,3598,0.0,1900,150,22
BLK,SunPV,3599,0.0,1900,150,23
BLK,SunPV,3600,0.0,1900,150,24
BLK,SunPV,7177,0.0,1900,300,1
BLK,SunPV,7178,0.0,1900,300,2
BLK,SunPV,7179,0.0,1900,300,3
BLK,SunPV,7180,0.0,1900,300,4
BLK,SunPV,7181,0.0,1900,300,5
BLK,SunPV,7182,0.008,1900,300,6
BLK,SunPV,7183,0.119,1900,300,7
BLK,SunPV,7184,0.27,1900,300,8
BLK,SunPV,7185,0.387,1900,300,9
BLK,SunPV,7186,0.461,1900,300,10
BLK,SunPV,7187,0.506,1900,300,11
BLK,SunPV,7188,0.514,1900,300,12
BLK,SunPV,7189,0.464,1900,300,13
BLK,SunPV,7190,0.358,1900,300,14
BLK,SunPV,7191,0.205,1900,300,15
BLK,SunPV,7192,0.039,1900,300,16
BLK,SunPV,7193,0.0,1900,300,17
BLK,SunPV,7194,0.0,1900,300,18
BLK,SunPV,7195,0.0,1900,300,19
BLK,SunPV,7196,0.0,1900,300,20
BLK,SunPV,7197,0.0,1900,300,21
BLK,SunPV,7198,0.0,1900,300,22
BLK,SunPV,7199,0.0,1900,300,23
BLK,SunPV,7200,0.0,1900,300,24
BLK,WindOff,1,0.746,1900,1,1
BLK,WindOff,2,0.59,1900,1,2
BLK,WindOff,3,0.454,1900,1,3
BLK,WindOff,4,0.449,1900,1,4
BLK,WindOff,5,0.449,1900,1,5
BLK,WindOff,6,0.498,1900,1,6
BLK,WindOff,7,0.645,1900,1,7
BLK,WindOff,8,0.653,1900,1,8
BLK,WindOff,9,0.68,1900,1,9
BLK,WindOff,10,0.702,1900,1,10
BLK,WindOff,11,0.625,1900,1,11
BLK,WindOff,12,0.544,1900,1,12
BLK,WindOff,13,0.665,1900,1,13
BLK,WindOff,14,0.681,1900,1,14
BLK,WindOff,15,0.721,1900,1,15
BLK,WindOff,16,0.853,1900,1,16
BLK,WindOff,17,0.741,1900,1,17
BLK,WindOff,18,0.695,1900,1,18
BLK,WindOff,19,0.681,1900,1,19
BLK,WindOff,20,0.666,1900,1,20
BLK,WindOff,21,0.638,1900,1,21
BLK,WindOff,22,0.743,1900,1,22
BLK,WindOff,23,0.65,1900,1,23
BLK,WindOff,24,0.502,1900,1,24
BLK,WindOff,3577,0.271,1900,150,1
BLK,WindOff,3578,0.224,1900,150,2
BLK,WindOff,3579,0.258,1900,150,3
BLK,WindOff,3580,0.218,1900,150,4
BLK,WindOff,3581,0.176,1900,150,5
BLK,WindOff,3582,0.176,1900,150,6
BLK,WindOff,3583,0.099,1900,150,7
BLK,WindOff,3584,0.039,1900,150,8
BLK,WindOff,3585,0.0,1900,150,9
BLK,WindOff,3586,0.095,1900,150,10
BLK,WindOff,3587,0.103,1900,150,11
BLK,WindOff,3588,0.08,1900,150,12
BLK,WindOff,3589,0.107,1900,150,13
BLK,WindOff,3590,0.111,1900,150,14
BLK,WindOff,3591,0.179,1900,150,15
BLK,WindOff,3592,0.224,1900,150,16
BLK,WindOff,3593,0.272,1900,150,17
BLK,WindOff,3594,0.308,1900,150,18
BLK,WindOff,3595,0.37,1900,150,19
BLK,WindOff,3596,0.343,1900,150,20
BLK,WindOff,3597,0.245,1900,150,21
BLK,WindOff,3598,0.09,1900,150,22
BLK,WindOff,3599,0.0,1900,150,23
BLK,WindOff,3600,0.0,1900,150,24
BLK,WindOff,7177,0.378,1900,300,1
BLK,WindOff,7178,0.362,1900,300,2
BLK,WindOff,7179,0.291,1900,300,3
BLK,WindOff,7180,0.284,1900,300,4
BLK,WindOff,7181,0.264,1900,300,5
BLK,WindOff,7182,0.354,1900,300,6
BLK,WindOff,7183,0.292,1900,300,7
BLK,WindOff,7184,0.37,1900,300,8
BLK,WindOff,7185,0.454,1900,300,9
BLK,WindOff,7186,0.488,1900,300,10
BLK,WindOff,7187,0.37,1900,300,11
BLK,WindOff,7188,0.202,1900,300,12
