method,blended,month,learning_rate,avg_total_cost,time,time_with_dispatch,scenario,scenario_cost
group_scenario,true,1,0.0001,1.0181968035213861e8,28.7903361,47.711648800000006,2012,9.348219610814553e7
group_scenario,true,10,0.0001,7.377434224775593e7,30.7383721,54.030499,1982,6.983104200588599e7
group_scenario,true,10,0.0001,7.377434224775593e7,30.7383721,54.030499,1987,7.773571884003508e7
group_scenario,true,10,0.0001,7.377434224775593e7,30.7383721,54.030499,1992,7.683437702042535e7
group_scenario,true,10,0.0001,7.377434224775593e7,30.7383721,54.030499,1995,6.88820661656476e7
group_scenario,true,10,0.0001,7.377434224775593e7,30.7383721,54.030499,1997,7.51718181110336e7
group_scenario,true,10,0.0001,7.377434224775593e7,30.7383721,54.030499,2002,7.309460914490841e7
group_scenario,true,10,0.0001,7.377434224775593e7,30.7383721,54.030499,2008,6.5640032419653066e7
group_scenario,true,10,0.0001,7.377434224775593e7,30.7383721,54.030499,2009,8.103030248946786e7
group_scenario,true,10,0.0001,7.377434224775593e7,30.7383721,54.030499,2012,7.574911403274645e7
group_scenario,true,11,0.0001,8.623543519850767e7,26.1476159,47.114425,1982,7.69502238343587e7
group_scenario,true,11,0.0001,8.623543519850767e7,26.1476159,47.114425,1987,1.0242311108711824e8
group_scenario,true,11,0.0001,8.623543519850767e7,26.1476159,47.114425,1992,8.309446690006542e7
group_scenario,true,11,0.0001,8.623543519850767e7,26.1476159,47.114425,1995,9.8777501574033e7
group_scenario,true,11,0.0001,8.623543519850767e7,26.1476159,47.114425,1997,8.333116963010316e7
group_scenario,true,11,0.0001,8.623543519850767e7,26.1476159,47.114425,2002,8.635319528199852e7
group_scenario,true,11,0.0001,8.623543519850767e7,26.1476159,47.114425,2008,8.489880292440307e7
group_scenario,true,11,0.0001,8.623543519850767e7,26.1476159,47.114425,2009,7.501454915561724e7
group_scenario,true,11,0.0001,8.623543519850767e7,26.1476159,47.114425,2012,8.527589639887166e7
group_scenario,true,12,0.0001,1.093744248956952e8,24.400734,43.483535,1982,1.1325859711916406e8
group_scenario,true,12,0.0001,1.093744248956952e8,24.400734,43.483535,1987,1.3260390904674123e8
group_scenario,true,12,0.0001,1.093744248956952e8,24.400734,43.483535,1992,9.402648466184361e7
group_scenario,true,12,0.0001,1.093744248956952e8,24.400734,43.483535,1995,1.1943378850436032e8
group_scenario,true,12,0.0001,1.093744248956952e8,24.400734,43.483535,1997,1.0309195845757231e8
group_scenario,true,12,0.0001,1.093744248956952e8,24.400734,43.483535,2002,1.0494376542761779e8
group_scenario,true,12,0.0001,1.093744248956952e8,24.400734,43.483535,2008,1.0908738396649998e8
group_scenario,true,12,0.0001,1.093744248956952e8,24.400734,43.483535,2009,1.0650054489912666e8
group_scenario,true,12,0.0001,1.093744248956952e8,24.400734,43.483535,2012,1.0142339197833082e8
group_scenario,true,2,0.0001,9.250879310176197e7,30.2458068,52.1586952,1982,9.738370752368245e7
group_scenario,true,2,0.0001,9.250879310176197e7,30.2458068,52.1586952,1987,1.0812331817578432e8
group_scenario,true,2,0.0001,9.250879310176197e7,30.2458068,52.1586952,1992,9.54466979687234e7
group_scenario,true,2,0.0001,9.250879310176197e7,30.2458068,52.1586952,1995,7.657583194708088e7
group_scenario,true,2,0.0001,9.250879310176197e7,30.2458068,52.1586952,1997,7.384787952052063e7
group_scenario,true,2,0.0001,9.250879310176197e7,30.2458068,52.1586952,2002,7.333896037567618e7
group_scenario,true,2,0.0001,9.250879310176197e7,30.2458068,52.1586952,2008,8.99578699428019e7
group_scenario,true,2,0.0001,9.250879310176197e7,30.2458068,52.1586952,2009,1.1799289936760348e8
group_scenario,true,2,0.0001,9.250879310176197e7,30.2458068,52.1586952,2012,9.991197309398447e7
group_scenario,true,3,0.0001,8.006137341049285e7,25.0755146,48.2501918,1982,7.585163711886545e7
group_scenario,true,3,0.0001,8.006137341049285e7,25.0755146,48.2501918,1987,1.1114128119564828e8
group_scenario,true,3,0.0001,8.006137341049285e7,25.0755146,48.2501918,1992,6.937975697887471e7
group_scenario,true,3,0.0001,8.006137341049285e7,25.0755146,48.2501918,1995,7.066051838372722e7
group_scenario,true,3,0.0001,8.006137341049285e7,25.0755146,48.2501918,1997,8.23996450813815e7
group_scenario,true,3,0.0001,8.006137341049285e7,25.0755146,48.2501918,2002,7.502765942858124e7
group_scenario,true,3,0.0001,8.006137341049285e7,25.0755146,48.2501918,2008,7.694409126590814e7
group_scenario,true,3,0.0001,8.006137341049285e7,25.0755146,48.2501918,2009,8.116030885048169e7
group_scenario,true,3,0.0001,8.006137341049285e7,25.0755146,48.2501918,2012,7.798746239096749e7
group_scenario,true,4,0.0001,7.156211983871956e7,24.9721156,48.000811999999996,1982,6.914355917403102e7
