method,clustering,blended,month,num_periods,avg_total_cost,time,scenario,scenario_cost
cross_scenario,convex_hull,true,1,50,5.081849345535501e9,39.3360742,2002,3.525757881029644e8
cross_scenario,convex_hull,true,1,50,5.081849345535501e9,39.3360742,2008,2.975010626685547e8
cross_scenario,convex_hull,true,1,50,5.081849345535501e9,39.3360742,2009,3.470301490718987e8
cross_scenario,convex_hull,true,1,50,5.081849345535501e9,39.3360742,2012,1.752085192691553e9
cross_scenario,convex_hull,false,1,50,5.286315108628148e9,25.4759062,1900,5.985550453845735e8
cross_scenario,convex_hull,false,1,50,5.286315108628148e9,25.4759062,1982,4.828495428308988e8
cross_scenario,convex_hull,false,1,50,5.286315108628148e9,25.4759062,1987,8.875931761860245e9
cross_scenario,convex_hull,false,1,50,5.286315108628148e9,25.4759062,1992,1.5638607716617313e10
cross_scenario,convex_hull,false,1,50,5.286315108628148e9,25.4759062,1995,8.438875867302743e9
cross_scenario,convex_hull,false,1,50,5.286315108628148e9,25.4759062,1997,1.6076848806642458e10
cross_scenario,convex_hull,false,1,50,5.286315108628148e9,25.4759062,2002,3.556986290348073e8
