rp,clustering,seed,num_periods,investment_cost,operational_cost,runtime,process_time,distance,data,loss_ct,loss,type,year
cross,k_medoids,3631457564,100,3.32966e9,5.59631e9,25.7606114,26.1073929,SqEuclidean,blended,309,1.8089849193509996e6,insample,1994
cross,k_medoids,3631457564,100,3.32966e9,4.75345e9,25.6482489,25.2563305,SqEuclidean,blended,248,944700.6269060001,insample,1998
cross,k_medoids,3631457564,100,3.32966e9,4.93391e9,26.6026764,23.6609565,SqEuclidean,blended,335,1.1365553690109996e6,insample,2004
cross,k_medoids,3631457564,100,3.32966e9,4.69964e9,28.7674112,29.0881549,SqEuclidean,blended,217,914068.9479680002,insample,2008
cross,k_medoids,3631457564,100,3.32966e9,5.37513e9,25.8358967,25.9500563,SqEuclidean,blended,394,1.6065531641489998e6,insample,2011
cross,k_medoids,3631457564,100,3.32966e9,4.48805e9,31.0174118,24.5856773,SqEuclidean,blended,208,651143.569887,insample,2012
cross,k_medoids,3631457564,100,3.32966e9,4.90385e9,25.8139244,26.5950346,SqEuclidean,blended,229,1.094908970846e6,insample,2016
cross,k_medoids,472808301,100,3.36901e9,1.55252e12,25.045762,66.6381116,SqEuclidean,blended,635,7.428855563216999e6,initial,initial
cross,k_medoids,472808301,100,3.36901e9,5.53711e9,26.5849611,24.7825877,SqEuclidean,blended,483,1.7512650036769998e6,insample,1982
cross,k_medoids,472808301,100,3.36901e9,5.99149e9,25.5458248,24.4508642,SqEuclidean,blended,351,2.1575251589880013e6,insample,1986
cross,k_medoids,472808301,100,3.36901e9,4.24815e9,26.6181942,25.076961200000003,SqEuclidean,blended,201,508421.64382700005,insample,1990
cross,k_medoids,472808301,100,3.36901e9,5.59812e9,25.8486042,23.8698731,SqEuclidean,blended,323,1.8190965114979998e6,insample,1994
cross,k_medoids,472808301,100,3.36901e9,4.71875e9,25.4060682,24.1776239,SqEuclidean,blended,236,918893.6494800001,insample,1998
cross,k_medoids,472808301,100,3.36901e9,4.73113e9,26.1951898,26.076038999999998,SqEuclidean,blended,295,942177.15156,insample,2004
cross,k_medoids,472808301,100,3.36901e9,4.70161e9,29.8306032,31.7449649,SqEuclidean,blended,210,925228.996058,insample,2008
cross,k_medoids,472808301,100,3.36901e9,5.14208e9,25.3325688,25.8176148,SqEuclidean,blended,348,1.3818038425409996e6,insample,2011
cross,k_medoids,472808301,100,3.36901e9,4.4008e9,25.1980969,25.977079500000002,SqEuclidean,blended,187,572405.4672270002,insample,2012
cross,k_medoids,472808301,100,3.36901e9,4.85473e9,25.5929889,27.2556999,SqEuclidean,blended,231,1.0548267158420002e6,insample,2016
cross,k_medoids,1516602964,20,3.20446e9,8.82827e11,2.8191535,44.3922671,SqEuclidean,blended,546,6.948739562009e6,initial,initial
cross,k_medoids,1516602964,20,3.20446e9,6.8039e9,25.5574535,24.7427473,SqEuclidean,blended,777,3.039439837955e6,insample,1982
cross,k_medoids,1516602964,20,3.20446e9,7.12219e9,24.7908477,24.6512486,SqEuclidean,blended,605,3.309660041313e6,insample,1986
cross,k_medoids,1516602964,20,3.20446e9,4.80098e9,25.3492073,25.4959828,SqEuclidean,blended,355,1.079167252873e6,insample,1990
cross,k_medoids,1516602964,20,3.20446e9,6.81029e9,25.3647037,25.0900677,SqEuclidean,blended,495,3.0521324233400007e6,insample,1994
cross,k_medoids,1516602964,20,3.20446e9,5.40957e9,25.3248341,25.507821800000002,SqEuclidean,blended,424,1.629385853266e6,insample,1998
cross,k_medoids,1516602964,20,3.20446e9,5.54456e9,25.1218775,24.579303499999998,SqEuclidean,blended,567,1.775037465418e6,insample,2004
cross,k_medoids,1516602964,20,3.20446e9,5.19042e9,29.1238357,31.0815624,SqEuclidean,blended,362,1.431834079261e6,insample,2008
cross,k_medoids,1516602964,20,3.20446e9,5.86714e9,26.022666,25.571747600000002,SqEuclidean,blended,593,2.124312005281001e6,insample,2011
cross,k_medoids,1516602964,20,3.20446e9,5.11978e9,25.7599655,25.0376766,SqEuclidean,blended,454,1.3113639942319999e6,insample,2012
cross,k_medoids,1516602964,20,3.20446e9,5.65334e9,26.9976934,24.0915067,SqEuclidean,blended,478,1.8734626675300004e6,insample,2016
cross,k_medoids,1886534858,20,3.21703e9,9.73969e11,2.6973327,43.8286771,SqEuclidean,blended,550,6.966740166369001e6,initial,initial
cross,k_medoids,1886534858,20,3.21703e9,6.9875e9,24.9033405,24.3586438,SqEuclidean,blended,705,3.213433832617e6,insample,1982
cross,k_medoids,1886534858,20,3.21703e9,7.17876e9,25.9093782,23.045606799999998,SqEuclidean,blended,518,3.355613340544e6,insample,1986
cross,k_medoids,1886534858,20,3.21703e9,4.93475e9,25.7682769,24.8349522,SqEuclidean,blended,345,1.2038781297870001e6,insample,1990
cross,k_medoids,1886534858,20,3.21703e9,7.05054e9,25.5346962,26.0293171,SqEuclidean,blended,463,3.283374568369e6,insample,1994
cross,k_medoids,1886534858,20,3.21703e9,5.51482e9,26.3634455,24.6643707,SqEuclidean,blended,370,1.7241290446139998e6,insample,1998
cross,k_medoids,1886534858,20,3.21703e9,5.60902e9,25.0775055,24.595768500000002,SqEuclidean,blended,493,1.8297209575170001e6,insample,2004
cross,k_medoids,1886534858,20,3.21703e9,5.27067e9,31.6644449,32.1261907,SqEuclidean,blended,305,1.5030972637729996e6,insample,2008
cross,k_medoids,1886534858,20,3.21703e9,5.95268e9,24.9613523,26.6684907,SqEuclidean,blended,504,2.200539405268e6,insample,2011
cross,k_medoids,1886534858,20,3.21703e9,5.19492e9,24.9702053,24.576930400000002,SqEuclidean,blended,340,1.3757492688939997e6,insample,2012
cross,k_medoids,1886534858,20,3.21703e9,5.80734e9,24.9497181,24.893455,SqEuclidean,blended,383,2.0179116785670002e6,insample,2016
