rp,clustering,seed,num_periods,investment_cost,data,windon,windoff,solar
per,k_medoids,2910484191,100,4.0045e9,blended,2.6021724230787e7,9.304203847522e6,2.5552273801524e7
per,k_medoids,2931455462,100,4.11855e9,blended,2.6078368472693e7,1.0219011779669e7,2.5556000975294e7
per,k_medoids,3631457564,100,4.11146e9,blended,2.6109674852973e7,1.0137875024807999e7,2.556201964115e7
per,k_medoids,472808301,100,4.09737e9,blended,2.6109070771645e7,1.0015819173269e7,2.5578751042304e7
per,k_medoids,1516602964,20,3.29806e9,blended,2.4006282896220997e7,6.355951477801e6,1.9800427801725004e7
per,k_medoids,1886534858,20,3.29806e9,blended,2.4006282896220997e7,6.355951477801e6,1.9800427801725004e7
per,k_medoids,2317698438,20,3.29806e9,blended,2.4006282896220997e7,6.355951477801e6,1.9800427801725004e7
per,k_medoids,2466700586,20,3.29806e9,blended,2.4006282896220997e7,6.355951477801e6,1.9800427801725004e7
per,k_medoids,2692059346,20,3.29806e9,blended,2.4006282896220997e7,6.355951477801e6,1.9800427801725004e7
per,k_medoids,3032526906,20,3.29806e9,blended,2.4006282896220997e7,6.355951477801e6,1.9800427801725004e7
per,k_medoids,3214418042,20,3.29806e9,blended,2.4006282896220997e7,6.355951477801e6,1.9800427801725004e7
per,k_medoids,3217763985,20,3.29806e9,blended,2.4006282896220997e7,6.355951477801e6,1.9800427801725004e7
per,k_medoids,3272403283,20,3.29806e9,blended,2.4006282896220997e7,6.355951477801e6,1.9800427801725004e7
per,k_medoids,408956147,20,3.29806e9,blended,2.4006282896220997e7,6.355951477801e6,1.9800427801725004e7
per,k_medoids,1040218444,200,4.09289e9,blended,2.6081622409542e7,1.0004643420382999e7,2.5549139904457003e7
per,k_medoids,1498923158,200,4.2144e9,blended,2.6083829719655e7,1.1081463510666e7,2.5327858029503003e7
per,k_medoids,1571330722,200,4.09914e9,blended,2.6113489258326e7,1.0034518984462999e7,2.5555162292819e7
