rp,clustering,seed,num_periods,investment_cost,operational_cost,runtime,process_time,distance,data,loss_ct,loss,type,year
per,k_medoids,1005471400,100,4.07129e9,4.19191e9,32.6952444,31.322773,SqEuclidean,blended,117,412097.263675,insample,2012
per,k_medoids,1005471400,100,4.07129e9,4.55181e9,31.9862803,31.2315799,SqEuclidean,blended,149,799064.755023,insample,2016
per,k_medoids,1262311769,100,3.99047e9,4.3637e11,25.5595668,65.5449426,SqEuclidean,blended,3627,3.945944143252999e7,initial,initial
per,k_medoids,1262311769,100,3.99047e9,5.15746e9,40.1228475,39.8852936,SqEuclidean,blended,381,1.4236099330590002e6,insample,1982
per,k_medoids,1262311769,100,3.99047e9,5.62317e9,33.4432694,32.833703299999996,SqEuclidean,blended,276,1.841302610524e6,insample,1986
per,k_medoids,1262311769,100,3.99047e9,4.13344e9,48.0098598,47.4616552,SqEuclidean,blended,171,442157.3226160001,insample,1990
per,k_medoids,1262311769,100,3.99047e9,5.39161e9,29.236643,29.5878356,SqEuclidean,blended,281,1.6630485406089998e6,insample,1994
per,k_medoids,1262311769,100,3.99047e9,4.49823e9,38.9955663,40.499699,SqEuclidean,blended,195,748935.4398530001,insample,1998
per,k_medoids,1262311769,100,3.99047e9,4.49606e9,36.0004394,34.3084489,SqEuclidean,blended,231,755246.087846,insample,2004
per,k_medoids,1262311769,100,3.99047e9,4.5306e9,33.1939504,33.4830824,SqEuclidean,blended,178,802213.333838,insample,2008
per,k_medoids,1262311769,100,3.99047e9,4.78701e9,31.31013,31.6229567,SqEuclidean,blended,267,1.074509862689e6,insample,2011
per,k_medoids,1262311769,100,3.99047e9,4.24296e9,32.4204245,32.315508200000004,SqEuclidean,blended,152,465844.285593,insample,2012
per,k_medoids,1262311769,100,3.99047e9,4.57337e9,33.0737812,31.0718995,SqEuclidean,blended,185,823231.0651329999,insample,2016
per,k_medoids,1400059389,100,4.02707e9,4.58913e11,25.250433,68.70107540000001,SqEuclidean,blended,3618,3.9210522928363994e7,initial,initial
per,k_medoids,1400059389,100,4.02707e9,5.13352e9,31.9397759,32.096621,SqEuclidean,blended,337,1.3971154909400004e6,insample,1982
per,k_medoids,1400059389,100,4.02707e9,5.63765e9,32.5417045,32.8525694,SqEuclidean,blended,255,1.853207158866e6,insample,1986
per,k_medoids,1400059389,100,4.02707e9,4.12461e9,45.5721355,45.7015321,SqEuclidean,blended,152,431591.074347,insample,1990
per,k_medoids,1400059389,100,4.02707e9,5.41044e9,29.6097603,28.858300999999997,SqEuclidean,blended,265,1.6796694291119997e6,insample,1994
per,k_medoids,1400059389,100,4.02707e9,4.49918e9,39.3614977,37.197468,SqEuclidean,blended,166,747773.593225,insample,1998
per,k_medoids,1400059389,100,4.02707e9,4.45252e9,35.8684937,31.7554261,SqEuclidean,blended,184,709216.9759650001,insample,2004
per,k_medoids,1400059389,100,4.02707e9,4.53768e9,33.1111647,30.6625455,SqEuclidean,blended,158,807321.4865350001,insample,2008
per,k_medoids,1400059389,100,4.02707e9,4.76308e9,32.2738391,30.8601398,SqEuclidean,blended,244,1.048330174444e6,insample,2011
per,k_medoids,1400059389,100,4.02707e9,4.21616e9,32.5774559,31.543884,SqEuclidean,blended,130,436303.614876,insample,2012
per,k_medoids,1400059389,100,4.02707e9,4.57385e9,33.2837715,31.7628301,SqEuclidean,blended,159,821076.11597,insample,2016
per,k_medoids,1693313909,100,4.05209e9,5.85187e11,27.1508192,65.5558173,SqEuclidean,blended,3610,3.927938380594999e7,initial,initial
per,k_medoids,1693313909,100,4.05209e9,5.18709e9,32.592117,31.7792763,SqEuclidean,blended,389,1.4499129467260002e6,insample,1982
per,k_medoids,1693313909,100,4.05209e9,5.6607e9,32.9965777,31.871731,SqEuclidean,blended,271,1.875642621401e6,insample,1986
per,k_medoids,1693313909,100,4.05209e9,4.14703e9,47.6030794,44.0632234,SqEuclidean,blended,170,452921.34614,insample,1990
per,k_medoids,1693313909,100,4.05209e9,5.44785e9,29.6793891,29.1061447,SqEuclidean,blended,282,1.715898834575e6,insample,1994
per,k_medoids,1693313909,100,4.05209e9,4.53142e9,41.1455053,42.6773425,SqEuclidean,blended,196,779104.496595,insample,1998
per,k_medoids,1693313909,100,4.05209e9,4.4671e9,36.8981583,34.441911,SqEuclidean,blended,209,722882.927632,insample,2004
per,k_medoids,1693313909,100,4.05209e9,4.56303e9,32.7518414,32.3339782,SqEuclidean,blended,180,831287.0334980001,insample,2008
per,k_medoids,1693313909,100,4.05209e9,4.78632e9,32.8747693,31.4201297,SqEuclidean,blended,267,1.0706841527869997e6,insample,2011
per,k_medoids,1693313909,100,4.05209e9,4.24392e9,32.1836943,31.7266128,SqEuclidean,blended,156,463256.093416,insample,2012
per,k_medoids,1693313909,100,4.05209e9,4.60696e9,33.4084058,30.9249903,SqEuclidean,blended,182,853502.397567,insample,2016
per,k_medoids,2483487299,100,4.03345e9,5.07551e11,25.6158812,68.0938078,SqEuclidean,blended,3648,3.943704691061099e7,initial,initial
per,k_medoids,2483487299,100,4.03345e9,5.10096e9,32.6832203,30.3965651,SqEuclidean,blended,315,1.365372485463e6,insample,1982
per,k_medoids,2483487299,100,4.03345e9,5.61909e9,32.0709237,31.6430298,SqEuclidean,blended,247,1.835527595761e6,insample,1986
per,k_medoids,2483487299,100,4.03345e9,4.10255e9,43.9988292,47.6384523,SqEuclidean,blended,134,410289.86192799994,insample,1990
